pos,turn,result
2b2rk1/ppn3np/2p3r1/2P3q1/1P2Pp2/P4P1P/2Q3BN/R4RNK,1,-1
2b2rk1/ppn3np/2p3r1/2P3q1/1P2PpN1/P4P1P/2Q3B1/R4RNK,0,-1
2b2rk1/ppn3n1/2p3r1/2P3qp/1P2PpN1/P4P1P/2Q3B1/R4RNK,1,-1
2b2rk1/ppn3n1/2p3r1/2P3qp/1P2Pp2/P4P1P/2Q3BN/R4RNK,0,-1
2b2rk1/ppn5/2p1n1r1/2P3qp/1P2Pp2/P4P1P/2Q3BN/R4RNK,1,-1
2b2rk1/ppn5/2p1n1r1/2P3qp/1P2Pp2/P4P1P/5QBN/R4RNK,0,-1
2b2r1k/ppn5/2p1n1r1/2P3qp/1P2Pp2/P4P1P/5QBN/R4RNK,1,-1
2b2r1k/ppn5/2p1n1r1/2P3qp/1P2Pp2/P4P1P/4NQBN/R4R1K,0,-1
2b3rk/ppn5/2p1n1r1/2P3qp/1P2Pp2/P4P1P/4NQBN/R4R1K,1,-1
2b3rk/ppn5/2p1n1r1/2P3qp/1P2Pp2/P4P1P/4NQBN/R5RK,0,-1
2b3rk/ppn5/2p1nqr1/2P4p/1P2Pp2/P4P1P/4NQBN/R5RK,1,-1
2b3rk/ppn5/2p1nqr1/2P4p/1P2Pp2/P4P1P/4NQBN/3R2RK,0,-1
2b3rk/ppn5/2p1nq2/2P4p/1P2Pp2/P4PrP/4NQBN/3R2RK,1,-1
2b3rk/ppn5/2p1nq2/2P4p/1P2Pp2/P4PrP/4NQ1N/3R1BRK,0,-1
2b3rk/ppn5/2p1n3/2P4p/1P2Pp1q/P4PrP/4NQ1N/3R1BRK,1,-1
2b3rk/ppn5/2p1n3/2P4p/1P2Pp1q/P4PNP/5Q1N/3R1BRK,0,-1
2b3rk/ppn5/2p1n3/2P4p/1P2P2q/P4PpP/5Q1N/3R1BRK,1,-1
2b3rk/ppn5/2p1n3/2P4p/1P2P2q/P4PpP/1Q5N/3R1BRK,0,-1
